match_id;champion;win;queue_id;game_duration;patch;kills;deaths;assists;kda;role;lane;gold_earned;gold_spent;total_minions;neutral_minions;total_damage;physical_damage;magic_damage;true_damage;damage_taken;damage_healed;vision_score;wards_placed;wards_killed;vision_wards;turret_kills;inhibitor_kills;dragon_kills;baron_kills;rift_herald_kills;item_0;item_1;item_2;item_3;item_4;item_5;item_6;primary_rune_tree;secondary_rune_tree;rune_0_0;rune_0_1;rune_0_2;rune_0_3;rune_1_0;rune_1_1
LA2_1518742783;Shyvana;1;420;40;15.14.697.2104;9;12;7;13.333.333.333.333.300;JUNGLE;JUNGLE;19157;17800;94;215;52953;8890;38188;5874;72345;24962;39;8;9;2;2;1;2;1;0;6653;3157;3020;4633;8010;3161;3364;8000;8300;8010;9111;9104;8299;8316;8304
LA2_1518902960;Shyvana;0;420;25;15.14.697.2104;2;10;5;0.7;JUNGLE;JUNGLE;9502;9175;45;145;15901;3605;11806;488;38903;12758;15;2;3;1;0;0;1;0;0;6653;3086;3020;1042;3161;1042;3364;8000;8300;8010;9111;9104;8299;8304;8316
LA2_1518912246;Shyvana;0;420;41;15.14.697.2104;14;7;8;3.142.857.142.857.140;JUNGLE;JUNGLE;21043;19025;158;197;64840;11413;45286;8139;69026;25518;43;6;7;5;0;1;1;1;0;6653;3157;6662;3161;3020;4633;3364;8000;8300;8010;9111;9104;8299;8304;8316
LA2_1518923297;Trundle;1;420;34;15.14.697.2104;7;4;10;4.25;JUNGLE;TOP;16992;15258;63;199;22255;17815;3205;1235;46342;30254;27;5;3;3;4;1;4;2;0;3742;3077;3078;3065;3075;3173;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1518947646;Trundle;0;420;29;15.14.697.2104;6;6;10;26.666.666.666.666.600;JUNGLE;JUNGLE;12595;11408;40;130;15341;12705;2176;459;51445;29223;34;5;6;3;0;0;1;0;0;3742;3065;3111;3076;0;3078;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1518957898;Trundle;0;420;28;15.14.697.2104;2;11;3;0.45454545454545453;JUNGLE;JUNGLE;9430;8233;20;125;9074;7236;1437;400;44199;20084;23;10;1;2;2;0;0;0;0;3742;1033;3111;0;0;3078;3340;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1518969806;Trundle;1;420;28;15.14.697.2104;6;5;2;1.6;TOP;JUNGLE;15351;14308;230;16;21797;19733;2063;0;33695;19473;22;9;2;1;5;1;0;0;0;3067;3074;3153;3173;3078;3211;3340;8000;8400;8008;9111;9104;8299;8473;8446
LA2_1518987132;Trundle;0;420;22;15.14.697.2104;2;5;0;0.4;TOP;TOP;8447;8383;165;0;9113;7574;1538;0;17919;6464;9;6;0;0;1;0;0;0;0;1055;3111;3153;3078;0;0;3340;8000;8400;8008;9111;9104;8299;8473;8446
LA2_1518997364;Trundle;0;420;29;15.14.697.2104;2;5;5;1.4;TOP;TOP;13298;11183;242;16;21162;17618;2923;621;38737;20583;25;9;5;0;4;0;0;0;0;1054;3074;3111;3078;3065;0;3340;8000;8400;8008;9111;9104;8299;8473;8446
LA2_1519010571;KSante;1;420;26;15.14.697.2104;9;3;10;6.333.333.333.333.330;TOP;TOP;12568;12325;165;4;21708;18067;2923;716;26298;7022;18;10;2;1;2;0;0;0;0;1011;3075;2502;3174;6662;1057;3340;8400;8000;8437;8401;8444;8451;8299;9111
LA2_1519023528;KSante;0;420;33;15.14.697.2104;8;6;5;21.666.666.666.666.600;TOP;TOP;14653;14000;217;0;32441;26919;4520;1001;48630;9422;34;11;1;4;1;0;0;0;0;6662;6665;3110;3174;1029;3075;3340;8400;8000;8437;8401;8444;8451;8299;9111
LA2_1519040286;KSante;0;420;35;15.14.697.2104;3;8;3;0.75;TOP;TOP;11235;9975;199;2;22085;18197;2053;1834;42936;6236;34;14;6;3;0;0;0;0;0;1054;1031;2502;1057;6662;3173;3340;8400;8000;8437;8401;8444;8451;8299;9111
LA2_1519357698;KSante;0;420;23;15.14.697.2104;1;3;0;0.3333333333333333;TOP;TOP;8129;7150;164;0;10126;8160;917;1049;26238;4369;16;9;1;4;1;0;0;0;0;1028;2055;6662;1057;3066;3111;3340;8400;8000;8437;8401;8444;8451;8299;9111
LA2_1519363687;Trundle;1;420;26;15.14.697.2104;6;3;12;6.0;JUNGLE;BOTTOM;12371;10533;33;154;16914;13575;2014;1323;31662;22068;27;4;6;4;0;0;2;1;0;3742;0;3173;3067;3211;3078;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1519375760;Trundle;1;420;37;15.14.697.2104;9;6;8;28.333.333.333.333.300;JUNGLE;JUNGLE;18591;17733;80;205;27717;23124;3221;1371;55812;32146;42;7;9;8;5;1;3;1;0;3078;3748;3075;3065;3742;3173;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1519522839;Trundle;1;420;25;15.14.697.2104;5;4;10;3.75;JUNGLE;JUNGLE;9967;9508;6;127;10823;8709;1195;918;27977;17777;21;6;2;7;3;0;3;0;0;3742;2055;3173;1033;1028;3078;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1519995957;Trundle;0;420;20;15.14.697.2104;0;4;3;0.75;JUNGLE;JUNGLE;5460;5383;22;57;2895;2465;388;41;15863;8178;6;1;1;2;0;0;1;0;0;1102;2003;3078;2055;3111;1028;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1520003669;Pantheon;1;420;17;15.14.697.2104;2;1;4;6.0;JUNGLE;NONE;6773;6675;16;98;4402;4083;214;104;15835;10886;14;3;1;3;0;0;0;0;0;1101;3111;3044;3067;6610;0;3513;8000;8300;8010;9111;9104;8014;8347;8304
LA2_1520010420;Pantheon;0;420;24;15.14.697.2104;3;7;3;0.8571428571428571;JUNGLE;JUNGLE;8224;7850;27;110;12018;9630;892;1495;32240;12109;20;4;2;4;0;0;1;0;0;3071;0;6610;0;0;3111;3364;8000;8300;8010;9111;9104;8014;8347;8304
LA2_1520019678;Pantheon;1;420;25;15.14.697.2104;12;4;7;4.75;JUNGLE;JUNGLE;12780;11575;14;154;16216;14960;366;889;28739;17165;17;4;3;5;2;1;2;0;0;3071;2055;3174;3053;6610;0;3364;8000;8300;8010;9111;9104;8014;8347;8304
LA2_1520044325;Pantheon;1;420;27;15.14.697.2104;1;3;6;23.333.333.333.333.300;JUNGLE;JUNGLE;10513;10300;29;165;7747;6697;391;659;32931;20302;26;3;6;3;2;0;1;0;0;3173;3071;2021;1037;6610;0;3364;8000;8300;8010;9111;9104;8014;8347;8304
LA2_1520060787;Trundle;0;420;32;15.14.697.2104;4;8;11;1.875;JUNGLE;JUNGLE;12222;11958;28;132;18687;15313;2631;742;50384;26590;21;5;4;5;0;0;1;0;0;3742;3065;3078;3111;3077;0;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1520085910;Jax;0;420;34;15.14.697.2104;4;10;6;1.0;TOP;TOP;12079;12783;197;16;20202;11740;8394;68;42799;6147;29;17;3;6;0;0;0;0;0;3078;2420;1058;0;6610;3174;3340;8400;8300;8437;8446;8444;8242;8345;8347
LA2_1520100147;Rumble;0;420;27;15.14.697.2104;5;7;3;11.428.571.428.571.400;TOP;TOP;11128;10550;189;0;18970;995;17873;101;25769;2462;19;9;3;2;0;0;0;0;0;1054;2421;1058;6653;8010;3020;3340;8200;8100;8229;8275;8233;8237;8139;8106
LA2_1520106944;Ahri;1;420;18;15.14.697.2104;6;2;5;5.5;MIDDLE;NONE;7691;6025;121;0;11885;772;7697;3415;12290;4369;10;9;1;3;0;0;0;0;0;1056;0;0;3020;3118;3145;3363;8100;8200;8112;8139;8140;8106;8226;8210
LA2_1520195703;Ahri;1;420;30;15.14.697.2104;15;2;7;11.0;MIDDLE;MIDDLE;16248;15470;211;4;42552;1709;32038;8804;18498;8812;29;15;4;2;7;1;0;0;0;1082;3089;3175;4645;6653;3118;3363;8100;8200;8112;8139;8140;8106;8226;8210
LA2_1520204216;Leblanc;1;420;23;15.14.697.2104;12;4;7;4.75;MIDDLE;MIDDLE;10708;9975;130;0;21115;1499;17545;2070;15177;2682;18;9;2;3;1;0;0;0;0;3175;1082;4645;1058;6655;0;3363;8100;8000;8112;8143;8140;8105;9101;8017
LA2_1520248442;Ahri;0;420;24;15.14.697.2104;6;9;3;1.0;MIDDLE;MIDDLE;9479;9475;155;0;17859;1256;11652;4950;19417;2514;15;11;2;3;0;0;0;0;0;3118;2420;4645;0;3020;0;3363;8100;8200;8112;8139;8140;8106;8226;8210
LA2_1520257416;Ezreal;1;420;31;15.14.697.2104;10;4;10;5.0;BOTTOM;BOTTOM;14800;12958;203;13;32568;19107;12972;487;24190;9298;28;13;3;3;4;2;0;1;0;1036;3161;3171;3042;3078;1038;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1520277195;Leblanc;1;420;27;15.14.697.2104;6;3;4;33.333.333.333.333.300;MIDDLE;MIDDLE;11749;10025;163;8;16608;575;14750;1283;14804;2152;23;14;5;5;1;0;0;1;0;1058;0;3175;6655;1082;4645;3363;8100;8200;8112;8143;8140;8105;8210;8237
LA2_1520400354;Ahri;0;420;29;15.14.697.2104;4;10;4;0.8;MIDDLE;MIDDLE;11103;10910;198;0;17896;1009;12726;4161;23973;2800;25;15;2;4;0;0;0;0;0;4645;3118;2421;1058;3020;0;3363;8100;8200;8112;8139;8140;8106;8226;8210
LA2_1520406182;Leblanc;1;420;31;15.14.697.2104;9;2;6;7.5;MIDDLE;MIDDLE;12741;12285;184;4;22456;795;19574;2086;19043;3502;23;13;1;3;2;0;0;0;0;1056;3175;1082;6655;3089;4645;3363;8100;8200;8112;8143;8140;8105;8236;8210
LA2_1520427370;Leblanc;1;420;31;15.14.697.2104;2;2;16;9.0;MIDDLE;MIDDLE;10222;9775;149;4;19572;909;17207;1454;18449;4703;18;15;2;3;0;0;0;0;0;4645;3020;2421;1082;0;6655;3363;8100;8200;8112;8143;8140;8105;8236;8210
LA2_1520628996;Galio;0;420;29;15.15.699.7589;2;9;9;12.222.222.222.222.200;MIDDLE;MIDDLE;9408;8675;165;4;15639;567;15072;0;33671;3005;23;13;2;3;0;0;0;0;0;3111;6664;4633;1056;1029;1052;3340;8400;8200;8439;8401;8473;8451;8275;8210
LA2_1520644139;Anivia;1;420;31;15.15.699.7589;9;6;6;2.5;MIDDLE;MIDDLE;13572;11025;200;6;23763;1182;21460;1120;30522;4461;28;11;4;3;2;0;0;1;0;6657;3175;3040;3118;1052;1028;3363;8100;8000;8112;8126;8140;8105;8014;8009
LA2_1520656973;Ahri;0;420;25;15.15.699.7589;4;5;7;2.2;MIDDLE;MIDDLE;8984;8875;157;1;19305;1230;13896;4178;19303;5417;24;13;2;4;1;0;0;0;0;3118;4645;1029;1052;3158;1052;3363;8100;8200;8112;8139;8140;8106;8226;8210
LA2_1520669392;Cassiopeia;1;420;29;15.15.699.7589;8;5;7;3.0;MIDDLE;MIDDLE;12239;10625;189;4;38064;522;37541;0;30128;14017;31;11;7;3;1;0;0;0;0;3040;2055;6657;3147;3116;2508;3363;8000;8200;8010;8009;9105;8299;8226;8210
LA2_1520683149;Viktor;0;420;27;15.15.699.7589;2;3;5;23.333.333.333.333.300;MIDDLE;MIDDLE;9149;8775;194;0;25152;445;24707;0;10300;1078;22;11;1;3;0;0;0;0;0;6653;1029;1052;3020;2503;1052;3363;8200;8400;8214;8226;8210;8237;8473;8401
LA2_1520899635;Karma;0;420;36;15.15.699.7589;1;6;22;38.333.333.333.333.300;UTILITY;BOTTOM;9819;9210;50;0;17045;924;15910;210;26415;8205;83;29;15;8;0;0;0;0;0;3870;2065;3190;2055;6617;3171;3364;8200;8400;8214;8226;8210;8236;8463;8453
LA2_1520911727;Leblanc;1;420;29;15.15.699.7589;11;2;13;12.0;MIDDLE;MIDDLE;13542;12250;155;4;23868;1189;20314;2363;18654;2750;30;12;5;2;2;0;0;0;0;3175;1058;4645;6655;3041;1058;3340;8100;8200;8112;8143;8140;8105;8236;8210
LA2_1520925915;Leblanc;1;420;29;15.15.699.7589;9;6;5;23.333.333.333.333.300;MIDDLE;MIDDLE;12281;10355;170;0;22422;959;18982;2480;21045;1540;34;17;3;3;1;1;0;0;0;4645;2031;3175;1058;6655;1082;3340;8100;8200;8112;8143;8140;8105;8236;8210
LA2_1520943341;Trundle;1;420;28;15.15.699.7589;6;4;12;4.5;JUNGLE;JUNGLE;12964;11283;31;158;12253;10165;1631;456;38462;26960;28;5;6;4;3;0;3;1;0;3742;2055;3174;3065;3078;0;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1521003438;Trundle;0;420;45;15.15.699.7589;6;7;14;2.857.142.857.142.850;JUNGLE;JUNGLE;16636;15708;31;224;37985;27053;8577;2353;93683;55091;43;7;13;7;0;0;0;1;0;3742;3077;3075;3078;3111;3065;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1521023763;Leblanc;1;420;31;15.15.699.7589;6;5;6;2.4;MIDDLE;MIDDLE;12612;12345;190;0;20153;913;17050;2189;23249;3530;23;13;3;7;1;0;0;0;0;6655;0;3020;3089;4645;1082;3363;8100;8200;8112;8143;8140;8105;8236;8210
LA2_1522246780;Leblanc;0;420;24;15.15.701.6241;6;2;4;5.0;MIDDLE;MIDDLE;9290;8225;153;0;15502;1260;12749;1492;17428;2806;20;11;1;3;0;0;0;0;0;4645;0;6655;1082;0;3020;3363;8100;8200;8112;8143;8140;8105;8236;8210
LA2_1522256174;Leblanc;0;420;25;15.15.701.6241;4;2;7;5.5;MIDDLE;MIDDLE;9245;8550;152;0;18983;674;16654;1654;18377;4077;19;13;3;4;0;0;0;0;0;1056;1058;3145;6655;3041;3020;3363;8100;8200;8112;8143;8140;8105;8236;8210
LA2_1522274439;Trundle;1;420;20;15.15.701.6241;7;2;8;7.5;JUNGLE;JUNGLE;9096;7008;9;110;15335;13525;1026;783;24059;15747;17;3;1;3;1;0;2;0;0;0;3078;3111;1031;3066;1028;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1522282586;Trundle;1;420;31;15.15.701.6241;8;5;14;4.4;JUNGLE;JUNGLE;13315;11683;22;150;25155;21233;2740;1181;47268;27945;29;10;4;10;3;0;3;0;0;3742;0;3173;3078;3065;0;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1522475460;Trundle;1;420;28;15.15.701.6241;8;2;12;10.0;JUNGLE;JUNGLE;15452;13208;43;150;20844;16936;3012;894;41950;31656;35;5;10;5;6;3;4;1;0;3742;3077;3078;3076;3065;3174;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1522484076;Trundle;0;420;24;15.15.701.6241;0;6;2;0.3333333333333333;JUNGLE;JUNGLE;6767;6508;29;100;9417;7176;2098;142;28814;14229;9;3;1;3;0;0;0;0;0;3211;2022;3078;3111;0;0;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1522692779;Trundle;1;420;20;15.15.701.6241;8;2;3;5.5;JUNGLE;JUNGLE;9288;8833;23;99;12027;9649;1649;728;25744;17703;14;2;4;4;2;0;1;0;0;3742;2055;3174;1033;0;3078;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1522701106;Trundle;1;420;23;15.15.701.6241;3;1;8;11.0;JUNGLE;JUNGLE;10234;7233;31;123;10711;7955;1705;1050;26940;18978;27;6;4;6;3;0;3;0;0;1028;0;3066;3078;3111;1031;3364;8000;8300;8005;9111;9104;8014;8410;8304
